term,freq
evaluative,1423
neutral,1082
stance,910
author's,828
phrase,540
subjective,529
uses,481
loaded,363
report,361
speculative,355
description,355
conveys,347
figurative,317
rhetorical,287
criterion,283
judgment,275
conclusion,269
factual,264
reporting,251
intensifier,211
explicit,210
expression,209
fact,203
expressing,198
expresses,194
conveying,192
presents,192
claim,189
negative,181
characterization,173
downgrading,168
question,149
exhortation,141
opinion,133
beyond,131
presented,117
unverified,109
goes,108
framing,108
convey,106
toward,105
established,104
characterize,97
neutrally,97
positive,89
inference,88
personal,88
what,88
dismissive,84
making,84
