dimension,key,n,subj_llm_pct,subj_proxy_pct,agreement_pct,fn_count,fp_count
overall,all,8561,24.11,14.27,85.26,1052,210
block,left,4521,22.76,12.67,85.45,557,101
block,right,4040,25.62,16.06,85.05,495,109
outlet,dailycaller,441,26.3,14.74,86.62,55,4
outlet,foxnews,1309,36.52,26.43,80.6,193,61
outlet,huffpost,1392,18.75,5.75,85.27,193,12
outlet,npr,761,13.67,8.41,88.17,65,25
outlet,nypost,818,17.11,7.33,86.8,94,14
outlet,theguardian,2368,28.04,18.12,84.67,299,64
outlet,washingtonexaminer,651,31.18,20.43,84.02,87,17
outlet,washingtontimes,821,11.94,5.48,90.38,66,13
topic_group,non-political,1244,34.89,26.77,82.72,158,57
topic_group,political,5935,22.81,12.62,85.32,738,133
topic_group,uncategorized,1382,19.97,10.13,87.26,156,20
topic,business,140,7.86,4.29,93.57,7,2
topic,entertainment,195,20.0,9.23,87.18,23,2
topic,general,1382,19.97,10.13,87.26,156,20
topic,health,48,6.25,0.0,93.75,3,0
topic,lifestyle,59,20.34,11.86,91.53,5,0
topic,opinion,658,58.51,45.74,78.42,113,29
topic,politics,3078,20.66,9.78,84.7,403,68
topic,sports,666,49.7,40.99,79.58,97,39
topic,tech,136,27.94,21.32,72.79,23,14
topic,us,1193,13.24,3.77,88.01,128,15
topic,world,1006,17.4,10.14,88.57,94,21
block_topic_group,left/non-political,206,20.87,14.56,89.81,17,4
block_topic_group,left/political,3880,24.05,13.35,84.77,503,88
block_topic_group,left/uncategorized,435,12.18,5.75,89.43,37,9
block_topic_group,right/non-political,1038,37.67,29.19,81.31,141,53
block_topic_group,right/political,2055,20.49,11.24,86.37,235,45
block_topic_group,right/uncategorized,947,23.55,12.14,86.27,119,11
block_topic,left/business,71,2.82,1.41,98.59,1,0
block_topic,left/entertainment,24,33.33,20.83,87.5,3,0
block_topic,left/general,435,12.18,5.75,89.43,37,9
block_topic,left/health,48,6.25,0.0,93.75,3,0
block_topic,left/opinion,446,56.95,42.83,76.46,84,21
block_topic,left/politics,1728,24.59,11.52,82.75,262,36
block_topic,left/sports,63,47.62,38.1,77.78,10,4
block_topic,left/us,765,11.76,4.05,89.67,69,10
block_topic,left/world,941,17.43,10.31,88.42,88,21
block_topic,right/business,69,13.04,7.25,88.41,6,2
block_topic,right/entertainment,171,18.13,7.6,87.13,20,2
block_topic,right/general,947,23.55,12.14,86.27,119,11
block_topic,right/lifestyle,59,20.34,11.86,91.53,5,0
block_topic,right/opinion,212,61.79,51.89,82.55,29,8
block_topic,right/politics,1350,15.63,7.56,87.19,141,32
block_topic,right/sports,603,49.92,41.29,79.77,87,35
block_topic,right/tech,136,27.94,21.32,72.79,23,14
block_topic,right/us,428,15.89,3.27,85.05,59,5
block_topic,right/world,65,16.92,7.69,90.77,6,0
outlet_topic,dailycaller/entertainment,14,0.0,0.0,100.0,0,0
outlet_topic,dailycaller/general,328,33.54,19.21,83.23,51,4
outlet_topic,dailycaller/politics,66,9.09,3.03,93.94,4,0
outlet_topic,dailycaller/sports,16,0.0,0.0,100.0,0,0
outlet_topic,dailycaller/tech,17,0.0,0.0,100.0,0,0
outlet_topic,foxnews/entertainment,67,19.4,5.97,86.57,9,0
outlet_topic,foxnews/lifestyle,41,4.88,0.0,95.12,2,0
outlet_topic,foxnews/opinion,42,80.95,59.52,78.57,9,0
outlet_topic,foxnews/politics,552,17.93,8.15,84.78,69,15
outlet_topic,foxnews/sports,503,58.05,48.71,77.53,80,33
outlet_topic,foxnews/tech,91,39.56,29.67,61.54,22,13
outlet_topic,foxnews/us,13,15.38,0.0,84.62,2,0
outlet_topic,huffpost/entertainment,24,33.33,20.83,87.5,3,0
outlet_topic,huffpost/politics,1009,21.8,6.34,82.76,165,9
outlet_topic,huffpost/sports,25,24.0,8.0,84.0,4,0
outlet_topic,huffpost/us,334,8.08,2.69,92.81,21,3
outlet_topic,npr/general,435,12.18,5.75,89.43,37,9
outlet_topic,npr/politics,220,20.91,16.82,82.27,24,15
outlet_topic,npr/us,106,4.72,1.89,95.28,4,1
outlet_topic,nypost/business,23,17.39,13.04,86.96,2,1
outlet_topic,nypost/entertainment,44,4.55,6.82,93.18,1,2
outlet_topic,nypost/general,197,27.41,14.72,83.25,29,4
outlet_topic,nypost/lifestyle,18,55.56,38.89,83.33,3,0
outlet_topic,nypost/politics,38,7.89,0.0,92.11,3,0
outlet_topic,nypost/sports,84,10.71,4.76,89.29,7,2
outlet_topic,nypost/tech,28,7.14,7.14,92.86,1,1
outlet_topic,nypost/us,353,15.3,3.4,85.84,46,4
outlet_topic,nypost/world,33,6.06,0.0,93.94,2,0
outlet_topic,theguardian/business,71,2.82,1.41,98.59,1,0
outlet_topic,theguardian/health,48,6.25,0.0,93.75,3,0
outlet_topic,theguardian/opinion,446,56.95,42.83,76.46,84,21
outlet_topic,theguardian/politics,499,31.86,19.64,82.97,73,12
outlet_topic,theguardian/sports,38,63.16,57.89,73.68,6,4
outlet_topic,theguardian/us,325,17.85,6.15,84.62,44,6
outlet_topic,theguardian/world,941,17.43,10.31,88.42,88,21
outlet_topic,washingtonexaminer/business,20,5.0,10.0,95.0,0,1
outlet_topic,washingtonexaminer/entertainment,46,34.78,13.04,78.26,10,0
outlet_topic,washingtonexaminer/general,40,2.5,0.0,97.5,1,0
outlet_topic,washingtonexaminer/opinion,170,57.06,50.0,83.53,20,8
outlet_topic,washingtonexaminer/politics,281,23.84,11.74,82.92,41,7
outlet_topic,washingtonexaminer/us,62,19.35,3.23,80.65,11,1
outlet_topic,washingtonexaminer/world,32,28.12,15.62,87.5,4,0
outlet_topic,washingtontimes/business,26,15.38,0.0,84.62,4,0
outlet_topic,washingtontimes/general,382,15.18,6.02,89.27,38,3
outlet_topic,washingtontimes/politics,413,8.72,5.33,91.77,24,10
